Project number,The data,Region,Granted support,Electricity consumption of the grid,Primary energy consumption before ,Current inverter set power,Inverter power in project,Electricity produced by solar panels,Primary energy consumption after ,Reduction of primary energy,CO2 emissions reduction
PME2-745,28.06.2022,Rīga,4000,9.34,23.35,0,10.8,11.55,6.03,17.33,1.26
PME2-778,28.06.2022,Rīga,2200,3.87,9.68,0,4,3.95,3.75,5.93,0.43
PME2-799,25.06.2022,Rīga,4000,4.3,10.75,0,11.1,9.4,-3.35,14.1,1.02
PME2-801,26.06.2022,Rīga,2800,4.27,10.68,0,6,4.1,4.53,6.15,0.45
PME2-515,27.06.2022,Kurzeme,3500,7.98,19.95,0,8,7.54,8.64,11.31,0.82
PME2-732,26.06.2022,Rīga,2500,5.28,13.2,0,5.55,6.14,3.99,9.21,0.67
PME2-482,26.06.2022,Kurzeme,1400,3.69,9.23,0,2,1.5,6.98,2.25,0.16
PME2-748,24.06.2022,Rīga,3500,2.23,5.58,0,8,2.9,1.23,4.35,0.32
PME2-769,22.06.2022,Rīga,4000,8.17,20.43,0,10,11.57,3.07,17.36,1.26
PME2-794,22.06.2022,Rīga,2800,8,20,0,6,5.49,11.77,8.24,0.6
PME2-771,21.06.2022,Kurzeme,1800,3.02,7.55,0,3.6,3.62,2.12,5.43,0.39
PME2-747,21.06.2022,Zemgale,1800,3.19,7.98,0,3,1.9,5.13,2.85,0.21
PME2-765,20.06.2022,Rīga,3500,3.52,8.8,0,8,6.03,-0.25,9.05,0.66
PME2-777,20.06.2022,Rīga,2500,4.4,11,0,5,5.7,2.45,8.55,0.62
PME2-744,20.06.2022,Rīga,3800,7.35,18.38,0,9.8,9.12,4.7,13.68,0.99
PME2-227,20.06.2022,Rīga,1800,0.3,0.75,0,3.6,3.1,-3.9,4.65,0.34
PME2-682,20.06.2022,Zemgale,2800,5.46,13.65,0,6,5.13,5.96,7.7,0.56
PME2-764,20.06.2022,Kurzeme,4000,3.02,7.55,0,10,9.6,-6.85,14.4,1.05
PME2-679,20.06.2022,Rīga,3500,5.83,14.58,0,8,8.1,2.43,12.15,0.88
PME2-772,19.06.2022,Rīga,3500,8.8,22,0,8,8.92,8.62,13.38,0.97
PME2-770,19.06.2022,Kurzeme,4000,8.2,20.5,0,11.1,11.2,3.7,16.8,1.22
PME2-751,19.06.2022,Rīga,3500,8.81,22.03,0,8,8.63,9.08,12.95,0.94
PME2-755,19.06.2022,Rīga,2800,2.67,6.68,0,6,3.15,1.95,4.73,0.34
PME2-766,17.06.2022,Rīga,2200,2.61,6.53,0,4,3.5,1.28,5.25,0.38
PME2-757,17.06.2022,Rīga,3500,4.49,11.23,0,8,7.6,-0.17,11.4,0.83
PME2-722,17.06.2022,Zemgale,3500,4.41,11.03,0,8.5,8.5,-1.73,12.75,0.93
PME2-692,17.06.2022,Rīga,3500,5.62,14.05,0,8,6.7,4,10.05,0.73
PME2-593,17.06.2022,Zemgale,4000,12.35,30.88,0,11.1,11.16,14.14,16.74,1.22
PME2-752,16.06.2022,Rīga,2800,4.67,11.68,0,6.8,6.47,1.97,9.71,0.71
PME2-662,16.06.2022,Rīga,2200,2.29,5.73,0,4.4,4.19,-0.56,6.29,0.46
PME2-735,16.06.2022,Kurzeme,2200,3.87,9.68,0,4,4.7,2.63,7.05,0.51
PME2-740,16.06.2022,Rīga,4000,9.78,24.45,0,10,10.63,8.51,15.95,1.16
PME2-742,16.06.2022,Zemgale,4000,4.97,12.43,0,10,10.92,-3.96,16.38,1.19
PME2-734,16.06.2022,Rīga,4000,14.62,36.55,0,10,9.75,21.93,14.63,1.06
PME2-626,15.06.2022,Rīga,3500,5.13,12.83,0,8.65,7.6,1.43,11.4,0.83
PME2-730,15.06.2022,Rīga,2800,3.02,7.55,0,6,4.12,1.37,6.18,0.45
PME2-377,15.06.2022,Zemgale,4000,5.75,14.38,0,11,12.76,-4.77,19.14,1.39
PME2-737,15.06.2022,Rīga,4000,23.3,58.25,0,10,10.48,42.53,15.72,1.14
PME2-738,15.06.2022,Rīga,3500,6.15,15.38,1.7,10,10.17,0.12,15.26,1.11
PME2-629,15.06.2022,Zemgale,4000,4.8,12,0,10,5.77,3.35,8.66,0.63
PME2-709,13.06.2022,Zemgale,4000,12.62,31.55,0,10,9.33,17.56,14,1.02
PME2-733,15.06.2022,Rīga,4000,5.41,13.53,0,10.5,10.5,-2.23,15.75,1.14
PME2-689,14.06.2022,Rīga,3500,7.44,18.6,0,8,6.74,8.49,10.11,0.73
PME2-726,14.06.2022,Rīga,3500,8.03,20.08,0,8,8.25,7.7,12.38,0.9
PME2-719,13.06.2022,Rīga,4000,10.07,25.18,0,10,9.51,10.91,14.27,1.04
PME2-723,14.06.2022,Rīga,2800,5.43,13.58,0,6,6.4,3.98,9.6,0.7
PME2-671,14.06.2022,Vidzeme,3500,6.25,15.63,0,8,6.67,5.62,10.01,0.73
PME2-702,14.06.2022,Kurzeme,2200,2.08,5.2,0,4,3.76,-0.44,5.64,0.41
PME2-526,13.06.2022,Rīga,2800,6.58,16.45,0,6,5.4,8.35,8.1,0.59
PME2-708,10.06.2022,Rīga,2800,4.42,11.05,0,6,5.07,3.45,7.61,0.55
PME2-648,12.06.2022,Kurzeme,4000,5.97,14.93,0,10,12,-3.08,18,1.31
PME2-585,12.06.2022,Rīga,4000,12.5,31.25,0,10,8,19.25,12,0.87
PME2-668,11.06.2022,Rīga,3500,7.2,18,0,8,7.04,7.44,10.56,0.77
PME2-653,10.06.2022,Rīga,3200,4.03,10.08,0,7.5,8.1,-2.08,12.15,0.88
PME2-697,10.06.2022,Zemgale,3500,2.88,7.2,0,8.2,7.78,-4.47,11.67,0.85
PME2-693,10.06.2022,Latgale,1800,2.57,6.43,0,3.68,3.11,1.76,4.67,0.34
PME2-190,09.06.2022,Rīga,3200,0,0,0,7.02,0,0,0,0
PME2-528,09.06.2022,Zemgale,1800,2.18,5.45,0,3.6,3,0.95,4.5,0.33
PME2-667,09.06.2022,Rīga,2500,2.91,7.28,0,5,4.5,0.53,6.75,0.49
PME2-695,09.06.2022,Rīga,4000,11.86,29.65,0,10,12.18,11.38,18.27,1.33
PME2-669,09.06.2022,Zemgale,3500,1.01,2.53,0,8,6.63,-7.42,9.95,0.72
